PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241028,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,2020,7.5,kg,100.0,g,1.0,kg,N,20241112110049
20241030,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,2020,7.5,kg,100.0,g,1.0,kg,N,20241114120046
20241106,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,2040,7.5,kg,100.0,g,1.0,kg,N,20241121111556
20241111,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,1890,7.5,kg,100.0,g,1.0,kg,N,20241126111557
20241113,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,1910,7.5,kg,100.0,g,1.0,kg,N,20241128111608
20241118,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,1960,7.5,kg,100.0,g,1.0,kg,N,20241203114550
20241120,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,1900,7.5,kg,100.0,g,1.0,kg,N,20241205114603
20241125,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,1750,7.5,kg,100.0,g,1.0,kg,N,20241210024617
20241127,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,1950,7.5,kg,100.0,g,1.0,kg,N,20241212114550
20241129,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,1670,7.5,kg,100.0,g,1.0,kg,N,20241216123040
20241202,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,1890,7.5,kg,100.0,g,1.0,kg,N,20241217111607
20241204,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,2100,7.5,kg,100.0,g,1.0,kg,N,20241219114626
20241206,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,1910,7.5,kg,100.0,g,1.0,kg,N,20241223033047
20241209,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,1830,7.5,kg,100.0,g,1.0,kg,N,20241224111605
20241211,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,2030,7.5,kg,100.0,g,1.0,kg,N,20241226111605
20241213,687,1000001,온라인몰A,98,온라인,9998,온라인,252,미나리,0,미나리,9,09,4,상품,2030,7.5,kg,100.0,g,1.0,kg,N,20241230030114
