PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241114,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,4730,1.0,kg,Y,20241129121603
20241115,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,4730,1.0,kg,Y,20241202123051
20241118,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,4730,1.0,kg,Y,20241203114550
20241119,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,4730,1.0,kg,Y,20241204124556
20241120,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,4730,1.0,kg,Y,20241205114603
20241121,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,5920,1.0,kg,Y,20241209063105
20241122,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,5920,1.0,kg,Y,20241209034714
20241125,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,5920,1.0,kg,Y,20241210024617
20241126,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,5920,1.0,kg,Y,20241211124610
20241127,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,5920,1.0,kg,Y,20241212114550
20241128,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,5920,1.0,kg,Y,20241213104553
20241129,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,5920,1.0,kg,Y,20241216123040
20241202,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,7590,1.0,kg,Y,20241217111607
20241203,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,7590,1.0,kg,Y,20241218121554
20241204,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,7590,1.0,kg,Y,20241219114626
20241205,391,321411,A-유통,32,강원,3214,강릉,216,갓,0,갓,1,소매,4,상품,6950,1.0,kg,N,20241224020109
