PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241030,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,19100,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241114120046
20241031,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,19100,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241115104625
20241101,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,19100,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241118015923
20241104,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,19100,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241119111557
20241105,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,19100,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241120111630
20241106,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,19100,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241121111556
20241107,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,19100,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241122111543
20241108,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25900,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241125020105
20241111,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25900,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241126111557
20241112,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25900,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241127111600
20241113,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25900,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241128111608
20241114,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25900,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241129121603
20241115,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,22300,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241202123051
20241118,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,22300,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241203114550
20241119,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,22300,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241204124556
20241120,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,22300,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241205114603
20241121,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,22300,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241209063105
20241122,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26600,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241209034714
20241125,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26600,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241210024617
20241126,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26600,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241211124610
20241127,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26600,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241212114550
20241128,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26600,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241213104553
20241129,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26500,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241216123040
20241202,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26500,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241217111607
20241203,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26500,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241218121554
20241204,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26500,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241219114626
20241205,108,372401,C-¿Ø≈Î,37,∞Ê∫œ,3714,æ»µø,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26500,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20241224020109
