PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241028,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,7970,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241112110049
20241030,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,6250,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241114120046
20241106,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,5980,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241121111556
20241111,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,5840,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241126111557
20241113,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,5750,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241128111608
20241118,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,5740,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241203114550
20241120,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,6010,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241205114603
20241125,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,5510,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241210024617
20241127,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,5590,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241212114550
20241129,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,5640,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241216123040
20241202,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,5700,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241217111607
20241204,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,5740,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241219114626
20241206,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,5540,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241223033047
20241209,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,5780,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241224111605
20241211,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,5470,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241226111605
20241213,688,1000007,온라인몰B,98,온라인,9998,온라인,151,고구마,0,밤,9,09,4,상품,5930,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20241230030114
