PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,63,220403,A-유통,22,대구,2200,대구,231,무,3,가을,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,N,20240102062408
20231205,63,220403,A-유통,22,대구,2200,대구,231,무,3,가을,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,N,20240102062408
20231206,63,220403,A-유통,22,대구,2200,대구,231,무,3,가을,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,N,20240102062408
20231207,63,220403,A-유통,22,대구,2200,대구,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,Y,20240102062408
20231208,63,220403,A-유통,22,대구,2200,대구,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,Y,20240102062408
20231211,63,220403,A-유통,22,대구,2200,대구,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,Y,20240102062408
20231212,63,220403,A-유통,22,대구,2200,대구,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,Y,20240102062408
20231214,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,Y,20240102062408
20231228,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,N,20240112065929
20231229,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,N,20240113065914
20240102,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1690,1,kg,20.0,kg,1.0,개,,,N,20240117065900
20240103,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1690,1,kg,20.0,kg,1.0,개,,,Y,20240118065914
20240104,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1690,1,kg,20.0,kg,1.0,개,,,Y,20240119065906
20240105,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1450,1,kg,20.0,kg,1.0,개,,,Y,20240120065927
20240108,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1690,1,kg,20.0,kg,1.0,개,,,Y,20240123065913
20240109,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1790,1,kg,20.0,kg,1.0,개,,,Y,20240124065912
20240110,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1790,1,kg,20.0,kg,1.0,개,,,Y,20240125065917
20240111,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1250,1,kg,20.0,kg,1.0,개,,,Y,20240126065910
20240115,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1250,1,kg,20.0,kg,1.0,개,,,Y,20240130065928
20240116,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1250,1,kg,20.0,kg,1.0,개,,,Y,20240131065939
20240117,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1250,1,kg,20.0,kg,1.0,개,,,Y,20240201065942
20240118,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1040,1,kg,20.0,kg,1.0,개,,,Y,20240202065931
20240119,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1040,1,kg,20.0,kg,1.0,개,,,Y,20240203065943
20240122,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1250,1,kg,20.0,kg,1.0,개,,,Y,20240206065935
20240123,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1250,1,kg,20.0,kg,1.0,개,,,Y,20240207065925
20240124,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1250,1,kg,20.0,kg,1.0,개,,,Y,20240208065918
20240125,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,980,1,kg,20.0,kg,1.0,개,,,Y,20240209065927
20240126,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,980,1,kg,20.0,kg,1.0,개,,,Y,20240210065928
20240129,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,980,1,kg,20.0,kg,1.0,개,,,Y,20240213065937
20240130,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,980,1,kg,20.0,kg,1.0,개,,,Y,20240214065934
20240131,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,980,1,kg,20.0,kg,1.0,개,,,Y,20240215065950
20240201,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,N,20240216065942
20240202,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,Y,20240217065957
20240205,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,Y,20240220065942
20240206,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,Y,20240221112510
20240207,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,Y,20240222065940
20240208,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,N,20240223065943
20240213,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,N,20240228065936
20240214,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,N,20240229065935
20240215,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,Y,20240301070020
20240216,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1690,1,kg,20.0,kg,1.0,개,,,Y,20240302065953
20240219,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,Y,20240305065952
20240220,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,Y,20240306065941
20240221,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,Y,20240307065956
20240222,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,Y,20240308065948
20240223,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,Y,20240309065947
20240226,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,Y,20240312070022
20240227,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,Y,20240313065944
20240228,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,Y,20240314065945
20240229,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,Y,20240318011344
20240304,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,Y,20240319070511
20240305,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,Y,20240320070501
20240306,63,220403,A-유통,22,대구,2200,대구,231,무,6,월동,1,소매,4,상품,1890,1,kg,20.0,kg,1.0,개,,,Y,20240321070453
