PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240503,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13320,18.0,kg,10.0,개,N,20240518070528
20240507,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13320,18.0,kg,10.0,개,N,20240522070536
20240508,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,11650,18.0,kg,10.0,개,Y,20240523070554
20240509,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,11650,18.0,kg,10.0,개,Y,20240524070546
20240510,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,11650,18.0,kg,10.0,개,Y,20240525070546
20240513,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,11600,18.0,kg,10.0,개,G,20240528070601
20240514,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240529070534
20240516,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240531070600
20240517,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240601070544
20240520,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240604020620
20240521,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240605070543
20240522,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240606070544
20240523,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240607070559
20240524,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240608070554
20240527,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240611070557
20240528,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240612070550
20240529,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240613070605
20240530,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240614070543
20240531,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240615070558
20240603,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240618070553
20240604,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240619070544
20240607,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,13300,18.0,kg,10.0,개,N,20240622070550
20240610,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,16600,18.0,kg,10.0,개,N,20240625072132
20240611,751,310405,J-유통,31,경기,3138,고양,421,오렌지,3,네이블 미국,1,소매,4,상품,16600,18.0,kg,10.0,개,N,20240626070553
