PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,752,340401,C-유통,34,충남,3411,천안,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9980,10.0,kg,10.0,개,N,20240102062408
20231205,752,340401,C-유통,34,충남,3411,천안,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9980,10.0,kg,10.0,개,N,20240102062408
20231206,752,340401,C-유통,34,충남,3411,천안,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9980,10.0,kg,10.0,개,N,20240102062408
20231207,752,340401,C-유통,34,충남,3411,천안,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9980,10.0,kg,10.0,개,N,20240102062408
20231208,752,340401,C-유통,34,충남,3411,천안,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9980,10.0,kg,10.0,개,N,20240102062408
20231211,752,340401,C-유통,34,충남,3411,천안,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9980,10.0,kg,10.0,개,N,20240102062408
20231212,752,340401,C-유통,34,충남,3411,천안,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9980,10.0,kg,10.0,개,N,20240102062408
20231215,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,8900,10.0,kg,10.0,개,Y,20240102062408
20231218,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,8900,10.0,kg,10.0,개,Y,20240102062408
20231219,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,8900,10.0,kg,10.0,개,Y,20240103065948
20231220,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,8900,10.0,kg,10.0,개,Y,20240104065906
20231221,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,8900,10.0,kg,10.0,개,Y,20240105065912
20231222,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240106065856
20231226,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240110065931
20231227,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240111065935
20231228,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240112065929
20231229,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240113065914
20240102,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240117065900
20240103,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240118065914
20240104,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240119065906
20240105,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240120065927
20240108,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240123065913
20240109,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240124065912
20240110,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240125065917
20240111,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240126065910
20240115,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240130065928
20240116,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240131065939
20240117,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240201065942
20240118,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240202065931
20240119,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240203065943
20240122,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240206065935
20240123,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240207065925
20240124,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240208065918
20240125,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,11630,10.0,kg,10.0,개,N,20240209065927
20240126,752,340401,C-유통,34,충남,3411,천안,419,참다래,1,국산,1,소매,4,상품,12800,10.0,kg,10.0,개,N,20240210065928
