PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231205,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231206,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231207,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231208,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231211,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,380,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231212,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231213,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231214,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231215,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231218,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231219,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240103065948
20231220,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240104065906
20231221,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240105065912
20231222,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240106065856
20231226,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240110065931
20231227,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240111065935
20231228,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240112065929
20231229,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240113065914
20240102,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240117065900
20240103,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240118065914
20240104,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240119065906
20240105,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240120065927
20240108,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240123065913
20240109,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240124065912
20240110,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240125065917
20240111,79,250112,역전,25,대전,2501,대전,152,감자,1,수미(노지),1,소매,4,상품,400,20.0,kg,100.0,g,100.0,g,N,20240126065910
