PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240202,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,Y,20240217065957
20240205,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,Y,20240220065942
20240206,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,Y,20240221112510
20240207,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,Y,20240222065940
20240208,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,Y,20240223065943
20240214,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,N,20240229065935
20240215,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,N,20240301070020
20240216,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,N,20240302065953
20240219,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,N,20240305065952
20240220,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,N,20240306065941
20240221,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,N,20240307065956
20240222,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,25980,15,kg,10.0,kg,10.0,개,N,20240308065948
20240223,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,25980,15,kg,10.0,kg,10.0,개,N,20240309065947
20241029,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,15700,15,kg,10.0,kg,10.0,개,N,20241113110033
20241030,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,15700,15,kg,10.0,kg,10.0,개,N,20241114120046
20250123,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,19900,15,kg,10.0,kg,10.0,개,Y,20250211031648
20250124,74,240402,E-유통,24,광주,2401,광주,416,단감,0,단감,1,소매,4,상품,19900,15,kg,10.0,kg,10.0,개,Y,20250211070112
