PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241108,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,3960,1.0,kg,Y,20241125020105
20241111,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,3960,1.0,kg,Y,20241126111557
20241112,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,3960,1.0,kg,Y,20241127111600
20241113,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,3960,1.0,kg,Y,20241128111608
20241114,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,2640,1.0,kg,Y,20241129121603
20241115,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,3960,1.0,kg,Y,20241202123051
20241118,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,3960,1.0,kg,Y,20241203114550
20241119,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,2380,1.0,kg,Y,20241204124556
20241120,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,2380,1.0,kg,Y,20241205114603
20241121,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,2380,1.0,kg,Y,20241209063105
20241122,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,2980,1.0,kg,N,20241209034714
20241125,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,2980,1.0,kg,N,20241210024617
20241126,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,2980,1.0,kg,N,20241211124610
20241127,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,2980,1.0,kg,N,20241212114550
20241128,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,2980,1.0,kg,N,20241213104553
20241129,387,270101,C-유통,27,세종,2701,세종,216,갓,0,갓,1,소매,4,상품,2980,1.0,kg,N,20241216123040
