PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240812,42,110403,C-유통,11,서울,1101,서울,241,건고추,1,햇산화건,1,소매,4,상품,19900,600,g,30.0,kg,600.0,g,N,20240827104705
20240813,42,110403,C-유통,11,서울,1101,서울,241,건고추,1,햇산화건,1,소매,4,상품,19900,600,g,30.0,kg,600.0,g,N,20240828114654
20240814,42,110403,C-유통,11,서울,1101,서울,241,건고추,1,햇산화건,1,소매,4,상품,19900,600,g,30.0,kg,600.0,g,N,20240829104636
20240816,42,110403,C-유통,11,서울,1101,서울,241,건고추,1,햇산화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,Y,20240902123055
20240819,42,110403,C-유통,11,서울,1101,서울,241,건고추,1,햇산화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,Y,20240903104602
20240820,42,110403,C-유통,11,서울,1101,서울,241,건고추,1,햇산화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,Y,20240904024615
20240821,42,110403,C-유통,11,서울,1101,서울,241,건고추,1,햇산화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,Y,20240905120057
20240822,42,110403,C-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,Y,20240906110101
20240823,42,110403,C-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,Y,20240909011534
20240826,42,110403,C-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,Y,20240910110037
20240827,42,110403,C-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,Y,20240911120047
20240828,42,110403,C-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,Y,20240912110028
20240829,42,110403,C-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,Y,20240913110049
20240830,42,110403,C-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,Y,20240919103028
20240902,42,110403,C-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,Y,20240919073113
20241114,42,110403,C-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,Y,20241129121603
20241115,42,110403,C-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,13200,600,g,30.0,kg,600.0,g,Y,20241202123051
20241118,42,110403,C-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,13200,600,g,30.0,kg,600.0,g,Y,20241203114550
20241119,42,110403,C-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,13200,600,g,30.0,kg,600.0,g,Y,20241204124556
20241120,42,110403,C-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,13200,600,g,30.0,kg,600.0,g,Y,20241205114603
20241121,42,110403,C-유통,11,서울,1101,서울,241,건고추,0,화건,1,소매,4,상품,13200,600,g,30.0,kg,600.0,g,Y,20241209063105
