PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240205,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240220065942
20240206,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240221112510
20240207,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240222065940
20240208,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240223065943
20240213,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240228065936
20240214,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240229065935
20240216,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240302065953
20240219,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240305065952
20240220,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240306065941
20240221,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240307065956
20240222,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240308065948
20240223,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240309065947
20240226,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240312070022
20240227,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240313065944
20240228,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240314065945
20240229,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240318011344
20240304,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240319070511
20240305,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240320070501
20240306,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240321070453
20240307,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240322070436
20240308,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240323070536
20240311,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240326070457
20240312,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240327070513
20240313,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240328070517
20240318,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240402070508
20240319,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240403070538
20240320,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240404070521
20240321,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240405070503
20240322,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240406070524
20240325,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240409070549
20240326,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240410070524
20240327,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240411070522
20240411,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240426070525
20240412,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240427070548
20240415,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240430070532
20240416,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240501070528
20240417,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240502070559
20240418,74,240402,E-유통,24,광주,2401,광주,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240503070523
