PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241007,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,2290,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241023013040
20241028,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,2390,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241112110049
20241030,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,2390,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241114120046
20241106,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,1830,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241121111556
20241111,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,1800,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241126111557
20241113,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,1800,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241128111608
20241118,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,2190,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241203114550
20241120,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,2190,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241205114603
20241125,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,2190,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241210024617
20241127,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,2190,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241212114550
20241129,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,2190,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241216123040
20241202,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,2190,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241217111607
20241204,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,2190,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241219114626
20241206,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,2390,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241223033047
20241209,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,2390,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241224111605
20241211,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,2390,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241226111605
20241213,827,1000009,온라인몰F,98,온라인,9998,온라인,245,양파,0,양파,9,09,4,상품,2390,1,kg,15.0,kg,1.0,kg,1.0,kg,N,20241230030114
