PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241014,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,18300,5.0,kg,N,20241029110052
20241016,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,16200,5.0,kg,N,20241031020130
20241021,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,16700,5.0,kg,N,20241105110052
20241022,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,15500,5.0,kg,N,20241106030109
20241125,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,14400,5.0,kg,N,20241210024617
20241126,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,14300,5.0,kg,N,20241211124610
20241127,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,14900,5.0,kg,N,20241212114550
20241128,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,15700,5.0,kg,N,20241213104553
20241129,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,15600,5.0,kg,N,20241216123040
20241206,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,14800,5.0,kg,N,20241223033047
20241209,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,14500,5.0,kg,N,20241224111605
20241210,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,14600,5.0,kg,N,20241226013055
20241211,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,15000,5.0,kg,N,20241226111605
20241212,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,14600,5.0,kg,N,20241227111549
20241213,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,14900,5.0,kg,N,20241230030114
20241217,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,13900,5.0,kg,N,20250102054558
20241218,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,14500,5.0,kg,N,20250102104639
20241219,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,14300,5.0,kg,N,20250107010100
20241220,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,14300,5.0,kg,N,20250106041607
20241223,687,1000001,온라인몰A,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,14600,5.0,kg,N,20250107110049
