PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241014,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241029110052
20241016,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241031020130
20241021,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241105110052
20241022,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241106030109
20241125,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241210024617
20241126,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241211124610
20241127,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241212114550
20241128,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241213104553
20241129,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241216123040
20241206,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241223033047
20241209,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241224111605
20241210,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241226013055
20241211,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241226111605
20241212,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241227111549
20241213,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20241230030114
20241217,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20250102054558
20241218,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20250102104639
20241219,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20250107010100
20241220,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20250106041607
20241223,690,1000008,온라인몰D,98,온라인,9998,온라인,652,굵은소금,0,굵은소금,9,09,4,상품,11700,5.0,kg,N,20250107110049
