PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,41,110402,A-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,25980,15,kg,10.0,kg,10.0,개,N,20240102062408
20231205,41,110402,A-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,25980,15,kg,10.0,kg,10.0,개,N,20240102062408
20231206,41,110402,A-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,25980,15,kg,10.0,kg,10.0,개,N,20240102062408
20231207,41,110402,A-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231208,41,110402,A-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231211,41,110402,A-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231212,41,110402,A-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231213,41,110402,A-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231214,41,110402,A-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231215,41,110402,A-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231218,41,110402,A-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231219,41,110402,A-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240103065948
20231220,41,110402,A-유통,11,서울,1101,서울,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240104065906
