PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,5660,1.0,kg,N,20240102062408
20231205,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6800,1.0,kg,N,20240102062408
20231206,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,6800,1.0,kg,N,20240102062408
20241106,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241121111556
20241107,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241122111543
20241108,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241125020105
20241111,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241126111557
20241112,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241127111600
20241113,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241128111608
20241114,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241129121603
20241115,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241202123051
20241118,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241203114550
20241119,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241204124556
20241120,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241205114603
20241121,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241209063105
20241122,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241209034714
20241125,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241210024617
20241126,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241211124610
20241127,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241212114550
20241128,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241213104553
20241129,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241216123040
20241202,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241217111607
20241203,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,2970,1.0,kg,Y,20241218121554
20241204,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,3980,1.0,kg,Y,20241219114626
20241205,762,110409,I-유통,11,서울,1101,서울,216,갓,0,갓,1,소매,4,상품,3980,1.0,kg,Y,20241224020109
